id	nom	typeLibelle	typeCode	rangChallenges	milliardaireForbes	mediaType	mediaPeriodicite	mediaEchelle	commentaire	ACPMdiffusion	wikidataId
1	Claude Perdriel	Personne physique	1	343							Q2977933
2	Sophia Publications	Personne morale	2								Q16336113
3	Groupe Perdriel	Personne morale	2								Q3117520
4	L’histoire	Média	3			GPE	Mensuel			49658	Q2890690
5	Historia	Média	3			GPE	Mensuel			58882	Q3138323
6	Challenges	Média	3			GPE	Hebdomadaire			179776	Q2947983
7	Sciences & Avenir	Média	3			GPE	Mensuel			207357	Q546262
8	L’Opinion	Média	3			GPE	Quotidien				Q14940658
9	Prisa	Personne morale	2								Q1466106
10	Xavier Niel	Personne physique	1	12	230						Q1450891
11	Matthieu Pigasse	Personne physique	1								Q3299928
12	Combat Solutions	Personne morale	2								Q24929235
13	Le Nouveau Monde	Personne morale	2								Q67147074
14	Le Monde libre	Personne morale	2								Q55180846
15	Le Monde SA	Personne morale	2								
16	L’Obs	Média	3			GPE	Hebdomadaire			199982	Q1044328
17	Prier	Média	3			GPE	Mensuel				Q16671000
18	M, le magazine du Monde	Média	3			GPE	Hebdomadaire			434011	Q21120245
19	Le Monde	Média	3			GPE	Quotidien			424085	Q12461
20	Télérama	Média	3			GPE	Hebdomadaire			469323	Q377629
21	Courrier international	Média	3			GPE	Hebdomadaire			160864	Q1137712
22	Le Monde des religions	Média	3			GPE	Mensuel				Q3224686
23	La Vie	Média	3			GPE	Hebdomadaire			69026	Q3213561
24	Le Monde diplomatique	Média	3			GPE	Mensuel			154719	Q858121
25	Manière de voir	Média	3			GPE	Bimestriel			24740	Q3285985
26	HuffPost	Média	3			Site					Q3223501
27	AOL	Personne morale	2								Q27585
28	Huffington Post	Personne morale	2								Q18049522
30	Radio Nova	Média	3			Radio		National			Q2292969
31	Les Inrockuptibles	Média	3			GPE	Hebdomadaire			31052	Q2758142
32	Vice.com	Média	3			Site					Q18395343
33	Les Amis du Monde diplomatique	Personne morale	2								Q2843543
34	Association Günter-Holzmann	Personne morale	2								Q29640269
35	Famille Dassault	Personne physique	1	6	254						
36	Groupe Dassault	Personne morale	2								Q1434948
37	Groupe Figaro	Personne morale	2								Q70442343
38	Le Figaro	Média	3			GPE	Quotidien				Q216047
39	Figaro Magazine	Média	3			GPE	Hebdomadaire			370195	Q3222760
40	Le Particulier	Média	3			GPE	Mesuel			301334	Q3225267
41	La Lettre de l’Expansion	Média	3			GPE	Mensuel				Q3209997
42	Bernard Arnault	Personne physique	1	1	3						Q32055
43	LVMH	Personne morale	2								Q504998
44	Le Parisien	Média	3			GPE	Quotidien			180801	Q142348
45	Le Parisien Week-End	Média	3			GPE	Hebdomadaire			231323	Q16654102
46	Le Parisien économie	Média	3			GPE	Hebdomadaire				
47	Aujourd’hui en France	Média	3			GPE	Quotidien				Q81942284
48	Groupe Les Échos	Personne morale	2								Q3117475
49	Les Échos	Média	3			GPE	Quotidien				Q923193
50	Investir	Média	3			GPE	Hebdomadaire			61937	Q3153914
51	Investir Magazine	Média	3			GPE	Mensuel				Q3153914
52	Les Échos Week-End	Média	3			GPE	Hebdomadaire				
53	Radio Classique	Média	3			Radio	National				Q1340362
54	Famille Bettencourt	Personne physique	1	4	14						Q30727360
55	Nicolas Beytout	Personne physique	1								Q3340099
56	Patrick Drahi	Personne physique	1	11	375						Q15714038
57	Altice	Personne morale	2								Q15944611
58	Altice France	Personne morale	2								Q218765
59	L’Express	Média	3			GPE	Hebdomadaire			170673	Q770596
60	Libération	Média	3			GPE	Quotidien				Q13717
61	Altice Média	Personne morale	2								Q3339193
62	BFM TV	Média	3			Télévision			Gratuit		Q517444
63	RMC Découverte	Média	3			Télévision			Gratuit		Q3415244
64	RMC	Média	3			Radio		National			Q686375
65	BFM Business	Média	3			Radio		National			Q2877016
66	Numéro 23	Média	3			Télévision			Gratuit		Q3346328
67	Arnaud Lagardère	Personne physique	1	317							Q691440
68	Qatar Investment Authority	Personne morale	2								Q1571175
69	Lagardère SA	Personne morale	2								Q1490400
70	Lagardère News	Personne morale	2								Q3216152
71	Le Journal du dimanche	Média	3			GPE	Hebdomaire				Q501461
72	Paris Match	Média	3			GPE	Hebdomaire			502040	Q678095
73	Gulli	Média	3			Télévision			Gratuit		Q612022
74	Europe 1	Média	3			Radio		National			Q314407
75	RFM	Média	3			Radio		National			Q3415172
76	Virgin Radio	Média	3			Radio		National			Q3560647
77	Vincent Bolloré	Personne physique	1	13	316						Q721491
78	Financière de l’Odet	Personne morale	2								Q3072532
79	Bolloré	Personne morale	2								Q444172
81	Vivendi	Personne morale	2								Q1127887
82	Canal +	Média	3			Télévision			Payant		Q1032540
83	C8	Média	3			Télévision			Gratuit		Q3011095
84	CNews	Média	3			Télévision			Gratuit		Q3029379
85	CStar	Média	3			Télévision			Gratuit		Q1952735
86	Iskandar Safa	Personne physique	1	90							Q1674003
87	Privinvest	Personne morale	2								Q52672870
88	Groupe Valmonde	Personne morale	2								
89	Valeurs actuelles	Média	3			GPE	Hebdomadaire			111002	Q3553781
